Species,PlantGeno,Isolate,PlantID,LeafID,LeafPos,Experiment,Replicate,AgarFlat,Lesion.Size,pixelsPERcm
Wl,LA1547,Navel,5,5,B,96b,96b208a,208a-8b.jpg,1687,85.4751
Wl,LA1547,1.05.24,3,2,A,96a,96a208b,208b-3b.jpg,0.831925035,92.0386
Wl,LA1547,KernB1,1,2,B,96b,96b208a,208a-1b.jpg,4518,84.5843
Wl,LA1547,1.03.02,5,1,A,96a,96a208a,208a-6b.jpg,966,93.0568
Wl,LA1547,1.05.16,2,5,A,96a,96a127,127-3b.jpg,254,92.0014
Wl,LA1547,1.04.15,2,2,A,96a,96a208b,208b-2b.jpg,0,91.6788
Wl,LA1547,Fresa525,2,3,B,96b,96b208a,208a-2b.jpg,5010,85.4719
Wl,LA1547,Gallo1,2,5,B,96a,96a208a,208a-3b.jpg,2218,92.7904
Wl,LA1547,1.02.04,1,2,A,96a,96a208b,208b-1b.jpg,893,92.3472
Wl,LA1547,1.04.01,3,1,A,96a,96a208a,208a-3b.jpg,5912,92.7904
Wl,LA1547,KernB1,4,5,B,96a,96a208a,208a-6b.jpg,2160,93.0568
Wl,LA1547,2.04.03,3,1,A,96a,96a127,127-3b.jpg,1384,92.0014
Wl,LA1547,KernA2,4,4,B,96b,96b127,127-6a.jpg,8891,86.552
Wl,LA1547,Apple404,4,3,B,96b,96b208a,208a-5b.jpg,2335,83.7045
Wl,LA1547,1.05.17,5,2,A,96a,96a127,127-7b.jpg,1720,92.7238
Wl,LA1547,BPA1,2,1,B,96b,96b127,127-2a.jpg,3825,84.162
Wl,LA1547,Fresa525,6,2,B,96b,96b208b,208b-8a.jpg,5481,86.4653
Wl,LA1547,Apple517,5,3,B,96b,96b208b,208b-7a.jpg,22744,87.0521
Wl,LA1547,1.03.12,3,4,A,96a,96a208a,208a-4b.jpg,2799,92.7109
Wl,LA1547,1.01.01,3,4,A,96b,96b208b,208b-4a.jpg,4280,85.5888
Wl,LA1547,94.4,3,3,A,96a,96a208b,208b-4b.jpg,0.821395241,93.1933
Wl,LA1547,PhiloMenlo,4,4,B,96a,96a208a,208a-6b.jpg,7938,93.0568
Wl,LA1547,1.04.04,5,2,A,96b,96b208b,208b-7a.jpg,6811,87.0521
Wl,LA1547,1.02.18,4,3,A,96b,96b127,127-5a.jpg,2870,86.8864
Wl,LA1547,BMM,4,1,B,96b,96b127,127-5a.jpg,3757,86.8864
Wl,LA1547,94.1,5,3,B,96a,96a127,127-7b.jpg,1863,92.7238
Wl,LA1547,KGB1,2,2,B,96a,96a208a,208a-2b.jpg,3405,92.5976
Wl,LA1547,1.04.21,2,5,A,96b,96b208a,208a-3b.jpg,3410,86.8364
Wl,LA1547,1.04.04,5,2,A,96a,96a208a,208a-7b.jpg,218,92.5054
Wl,LA1547,2.04.20,3,5,B,96b,96b127,127-4a.jpg,5784,86.9074
Wl,LA1547,94.4,3,5,A,96b,96b127,127-4a.jpg,8676,86.9074
Wl,LA1547,1.04.05,5,4,A,96a,96a208b,208b-7b.jpg,0.791746317,91.5386
Wl,LA1547,KernB2,1,3,B,96a,96a208a,208a-1b.jpg,2523,92.3072
Wl,LA1547,1.02.02,4,1,A,96a,96a208a,208a-5b.jpg,1490,92.3857
Wl,LA1547,1.03.16,2,2,A,96a,96a208b,208b-2b.jpg,0,91.6788
Wl,LA1547,1.02.01,6,2,A,96a,96a127,127-8b.jpg,4246,91.8144
Wl,LA1547,Acacia,1,5,B,96b,96b127,127-2a.jpg,12550,84.162
Wl,LA1547,Acacia,3,1,B,96b,96b208a,208a-3b.jpg,3484,86.8364
Wl,LA1547,2.04.12,5,1,B,96a,96a127,127-6b.jpg,3302,92.5569
Wl,LA1547,EsparatoFresa,5,4,A,96a,96a127,127-7b.jpg,9816,92.7238
Wl,LA1547,1.04.17,3,2,A,96a,96a127,127-3b.jpg,1065,92.0014
Wl,LA1547,2.04.17,1,2,B,96a,96a127,127-1b.jpg,3460,92.7
Wl,LA1547,BPA1,5,2,B,96a,96a127,127-7b.jpg,3813,92.7238
Wl,LA1547,BMM,2,4,B,96a,96a208a,208a-2b.jpg,8019,92.5976
Wl,LA1547,2.04.12,4,1,B,96a,96a208a,208a-5b.jpg,1515,92.3857
Wl,LA1547,1.01.03,5,5,A,96a,96a208b,208b-8b.jpg,0.892699601,92.4061
Wl,LA1547,DavisNavel,5,5,B,96a,96a208a,208a-8b.jpg,811,91.4142
Wl,LA1547,B05.10,2,5,B,96b,96b127,127-3a.jpg,447,85.605
Wl,LA1547,Fresa525,4,2,B,96a,96a208a,208a-5b.jpg,2017,92.3857
Wl,LA1547,UKRazz,4,1,B,96a,96a208a,208a-5b.jpg,1966,92.3857
Wl,LA1547,Rose,4,2,B,96b,96b208b,208b-5a.jpg,2097,86.764
Wl,LA1547,Apple404,3,4,B,96a,96a127,127-4b.jpg,1991,93.0272
Wl,LA1547,1.05.11,3,2,A,96b,96b208a,208a-3b.jpg,1686,86.8364
Wl,LA1547,Peachy,1,5,B,96b,96b208b,208b-2a.jpg,2656,85.9851
Wl,LA1547,1.04.05,3,4,A,96b,96b208b,208b-4a.jpg,2832,85.5888
Wl,LA1547,1.04.15,2,1,A,96b,96b208b,208b-2a.jpg,6638,85.9851
Wl,LA1547,1.04.12,1,5,A,96b,96b127,127-2a.jpg,14308,84.162
Wl,LA1547,Ausubel,5,1,B,96b,96b208a,208a-6b.jpg,2814,85.8214
Wl,LA1547,KatieTomato,2,2,B,96a,96a208b,208b-2b.jpg,0.870215881,91.6788
Wl,LA1547,1.02.17,5,5,A,96a,96a208a,208a-8b.jpg,919,91.4142
Wl,LA1547,Pepper,4,1,B,96b,96b208b,208b-5a.jpg,6593,86.764
Wl,LA1547,1.01.02,3,5,A,96a,96a127,127-4b.jpg,4520,93.0272
Wl,LA1547,KernB2,2,4,B,96a,96a127,127-2b.jpg,4735,93.6815
Wl,LA1547,PhiloMenlo,3,5,B,96a,96a208b,208b-4b.jpg,0.84753302,93.1933
Wl,LA1547,1.04.20,5,2,A,96b,96b127,127-7a.jpg,8946,84.6245
Wl,LA1547,KernB1,2,4,B,96a,96a208b,208b-2b.jpg,0.858833586,91.6788
Wl,LA1547,1.04.19,2,3,A,96a,96a208a,208a-2b.jpg,2301,92.5976
Wl,LA1547,Navel,3,1,B,96b,96b127,127-3a.jpg,449,85.605
Wl,LA1547,2.04.17,5,2,B,96b,96b127,127-7a.jpg,5347,84.6245
Wl,LA1547,1.02.01,4,5,A,96b,96b208a,208a-6b.jpg,6240,85.8214
Wl,LA1547,Gallo2,3,4,B,96b,96b208b,208b-4a.jpg,192,85.5888
Wl,LA1547,1.02.15,4,4,A,96a,96a208b,208b-6b.jpg,0,93.0293
Wl,LA1547,1.03.18,6,1,A,96b,96b208a,208a-8b.jpg,4293,85.4751
Wl,LA1547,1.03.18,3,1,A,96b,96b127,127-3a.jpg,5103,85.605
Wl,LA1547,1.05.17,3,2,A,96a,96a208a,208a-3b.jpg,1356,92.7904
Wl,LA1547,NobleRot,3,3,B,96b,96b127,127-4a.jpg,372,86.9074
Wl,LA1547,1.03.23,1,1,A,96b,96b208a,208a-1b.jpg,3504,84.5843
Wl,LA1547,1.04.19,4,1,A,96a,96a127,127-5b.jpg,4343,91.5294
Wl,LA1547,1.01.04,1,3,A,96a,96a208a,208a-1b.jpg,5148,92.3072
Wl,LA1547,Apple404,5,2,B,96b,96b208b,208b-7a.jpg,4249,87.0521
Wl,LA1547,1.05.04,4,4,A,96b,96b208b,208b-6a.jpg,4157,86.7936
Wl,LA1547,Rasp,4,2,B,96b,96b208a,208a-5b.jpg,5486,83.7045
Wl,LA1547,1.04.04,3,5,A,96a,96a127,127-4b.jpg,4014,93.0272
Wl,LA1547,Ausubel,4,5,B,96a,96a208b,208b-6b.jpg,0.905746447,93.0293
Wl,LA1547,1.03.20,1,3,A,96a,96a127,127-1b.jpg,1253,92.7
Wl,LA1547,FresaSD,6,1,B,96b,96b208a,208a-8b.jpg,1296,85.4751
Wl,LA1547,1.04.01,5,4,B,96a,96a127,127-7b.jpg,7761,92.7238
Wl,LA1547,NobleRot,4,5,B,96a,96a127,127-6b.jpg,1628,92.5569
Wl,LA1547,1.05.24,5,1,A,96a,96a208a,208a-6b.jpg,331,93.0568
Wl,LA1547,1.02.16,5,3,A,96b,96b127,127-7a.jpg,9202,84.6245
Wl,LA1547,1.01.01,6,1,A,96b,96b127,127-8a.jpg,3043,86.2279
Wl,LA1547,1.05.24,5,4,A,96a,96a127,127-7b.jpg,1807,92.7238
Wl,LA1547,Ausubel,5,2,B,96b,96b127,127-7a.jpg,8776,84.6245
Wl,LA1547,94.4,6,1,A,96b,96b208b,208b-8a.jpg,6946,86.4653
Wl,LA1547,2.04.08,5,5,B,96a,96a208a,208a-8b.jpg,7484,91.4142
Wl,LA1547,UKRazz,1,2,A,96b,96b208a,208a-1b.jpg,3804,84.5843
Wl,LA1547,1.02.06,6,2,A,96b,96b208a,208a-8b.jpg,2597,85.4751
Wl,LA1547,Pepper,2,2,B,96b,96b208a,208a-2b.jpg,4963,85.4719
Wl,LA1547,Apple517,1,1,B,96b,96b127,127-1a.jpg,16041,85.2364
Wl,LA1547,1.01.06,1,2,A,96a,96a208a,208a-1b.jpg,4417,92.3072
Wl,LA1547,Peachy,1,2,B,96a,96a208a,208a-1b.jpg,2548,92.3072
Wl,LA1547,1.04.04,4,4,A,96b,96b208a,208a-6b.jpg,240,85.8214
Wl,LA1547,1.05.14,3,3,A,96b,96b127,127-4a.jpg,2029,86.9074
Wl,LA1547,1.04.04,3,3,A,96b,96b127,127-4a.jpg,1498,86.9074
Wl,LA1547,Ausubel,6,2,B,96a,96a127,127-8b.jpg,11342,91.8144
Wl,LA1547,1.03.04,4,2,A,96b,96b127,127-5a.jpg,9825,86.8864
Wl,LA1547,1.04.15,2,5,A,96a,96a127,127-3b.jpg,232,92.0014
Wl,LA1547,2.04.12,4,4,B,96b,96b208a,208a-6b.jpg,9584,85.8214
